bd,gov.bd,government,https://en.wikipedia.org/wiki/.bd
bd,mil.bd,military,https://en.wikipedia.org/wiki/.bd
bi,gov.bi,government,
bw,gov.bw,government,
cf,gouv.cf,government,
cg,gouv.cg,government,
ch,admin.ch,government,
cv,gov.cv,government,
cz,gov.cz,government,
dj,gov.dj,government,
er,gov.er,government,https://en.wikipedia.org/wiki/.er
fj,gov.fj,government,
ga,gouv.ga,government,https://en.wikipedia.org/wiki/.ga
ga,go.ga,government,https://en.wikipedia.org/wiki/.ga
gm,gov.gm,government,https://en.wikipedia.org/wiki/.gm
gm,edu.gm,education,https://en.wikipedia.org/wiki/.gm
gq,gov.gq,government,https://en.wikipedia.org/wiki/.gq
gq,mil.gq,military,https://en.wikipedia.org/wiki/.gq
hr,gov.hr,government,
hu,gov.hu,government,https://en.wikipedia.org/wiki/.hu
jm,gov.jm,government,https://en.wikipedia.org/wiki/.jm
jm,mil.jm,military,https://en.wikipedia.org/wiki/.jm
jm,edu.jm,education,https://en.wikipedia.org/wiki/.jm
kh,gov.kh,government,
kh,mil.kh,military,
kh,edu.kh,education,
ls,gov.ls,government,https://en.wikipedia.org/wiki/.ls
md,gov.md,government,
mm,gov.mm,government,https://en.wikipedia.org/wiki/.mm
mp,gov.mp,government,https://en.wikipedia.org/wiki/.mp
mt,gov.mt,government,https://en.wikipedia.org/wiki/.mt
na,gov.na,government,
np,gov.np,government,https://en.wikipedia.org/wiki/.np
np,mil.np,military,https://en.wikipedia.org/wiki/.np
pg,gov.pg,government,https://en.wikipedia.org/wiki/.pg
pg,mil.pg,military,https://en.wikipedia.org/wiki/.pg
sk,gov.sk,government,
so,gov.so,government,https://en.wikipedia.org/wiki/.so
sr,gov.sr,government,
ss,gov.ss,government,https://en.wikipedia.org/wiki/.ss
sz,gov.sz,government,https://en.wikipedia.org/wiki/.sz
td,gouv.td,government,https://web.archive.org/web/20170814151158/http://www.nic.td/wp-content/uploads/2016/03/Charte-de-nommage-Final.pdf
td,presid.td,government,https://web.archive.org/web/20170814151158/http://www.nic.td/wp-content/uploads/2016/03/Charte-de-nommage-Final.pdf
td,nat.td,government,https://web.archive.org/web/20170814151158/http://www.nic.td/wp-content/uploads/2016/03/Charte-de-nommage-Final.pdf
tg,gouv.tg,government,
uz,gov.uz,government,
vu,gov.vu,government,
ye,gov.ye,government,https://en.wikipedia.org/wiki/.ye
